"post_id (S)","epoch_time (N)","content (S)","sentiment (N)","time (S)"
"002fc9270d457e6c65bc62ead512acfd","1583758899","Mua cái này đc cc gì vậy ae ?","-1","1583758899"
"002fc9270d457e6c65bc62ead512acfd","1583758904","pr mục dữ ha ai chẳng có 2 con mắt","-1","1583758904"
"002fc9270d457e6c65bc62ead512acfd","1583758954","Giảm độ khó neeko đi ad ơi =(((( nâng cấp thế này lâu vl =((","1","1583758954"
"002fc9270d457e6c65bc62ead512acfd","1583759028","Cũng thích thần hỏa lắm mà hổng có tiền ._.","1","1583759028"
"002fc9270d457e6c65bc62ead512acfd","1583759085","Tui mua 2 bộ sao vào game nó hiện lên bộ cơ bản vậy mọi người","-1","1583759085"
"002fc9270d457e6c65bc62ead512acfd","1583759090","Thế cho tiền mua đi :))","-1","1583759090"
"002fc9270d457e6c65bc62ead512acfd","1583759101","Ai chưa có mua điểm danh","-1","1583759101"
"002fc9270d457e6c65bc62ead512acfd","1583759153","Mua trọn hết thần hỏa các tướng","-1","1583759153"
"002fc9270d457e6c65bc62ead512acfd","1583759210","🔥 Chi tiết về Thần Hỏa: http://bit.ly/ThanHoa
🔥 Câu hỏi thường gặp: http://bit.ly/ThanHoaFAQ
🔥 Tra cứu Thần Hoả: https://thanhoa.lienminh.garena.vn/tra-cuu/","-1","1583759210"
"002fc9270d457e6c65bc62ead512acfd","1583759211","Mua gói sẽ lời hơn =))","1","1583759211"
"002fc9270d457e6c65bc62ead512acfd","1583759330","Phải chi mình mua được trong lúc chọn tướng trước khi vô trận","-1","1583759330"
"002fc9270d457e6c65bc62ead512acfd","1583759617","K ai mua đâu :)","-1","1583759617"
"002fc9270d457e6c65bc62ead512acfd","1583759756","nếu mình chỉ mua bộ khởi đầu và cày các mốc thì mình có được nâng cấp biểu cảm thông thạo không vậy??","-1","1583759756"
"002fc9270d457e6c65bc62ead512acfd","1583759775","Bỏ tiền ra để thuê người đếm xem mình đã ăn được bao nhiêu bát cơm, uống bao nhiêu cốc nước...thật ba chấm ( trích XTV )","-1","1583759775"
"002fc9270d457e6c65bc62ead512acfd","1583759842","Ad cho minh hỏi. Phiên ban mới nhất mình cap nhạt ve máy ròi. Cài xong sao vào tran choi ko đc. Man hình cứ đòi kết nối lại là sao","-1","1583759842"
"002fc9270d457e6c65bc62ead512acfd","1583759909","Mua thần hoả có tác dụng vậy các bác , em tối cổ lắm hay mua dùng để khoe","1","1583759909"
"002fc9270d457e6c65bc62ead512acfd","1583760061","Có cách nào không tốn rp không :v chứ cách mua thì biết dồi đó","-1","1583760061"
"002fc9270d457e6c65bc62ead512acfd","1583760236","Tính mua nhưng em tui đổi mẹ mk laptop :))","-1","1583760236"
"002fc9270d457e6c65bc62ead512acfd","1583760362","để tiền mua khẩu trang đi","-1","1583760362"
"002fc9270d457e6c65bc62ead512acfd","1583760552","mọi người cho mình hỏi ngọc nhánh áp đảo đang bị lỗi phải k mình k dùng được ngọc ở nhánh này","-1","1583760552"
"002fc9270d457e6c65bc62ead512acfd","1583760555","Minh Tân","-1","1583760555"
"002fc9270d457e6c65bc62ead512acfd","1583760930","V là sao ad","0","1583760930"
"002fc9270d457e6c65bc62ead512acfd","1583761193","Nhảm nhí và tốn rp","-1","1583761193"
"002fc9270d457e6c65bc62ead512acfd","1583761228","1 tướng 2k5 thl mà hơn 100 tướng có hơn 14k :>","-1","1583761228"
"002fc9270d457e6c65bc62ead512acfd","1583761346","Ae cho hỏi lúc nạp thẻ bthg chỉ có mã nạp sao giờ có thêm cái số thẻ garena là gì nhỉ?","-1","1583761346"
"002fc9270d457e6c65bc62ead512acfd","1583761358","đắt như quỷ","0","1583761358"
"002fc9270d457e6c65bc62ead512acfd","1583761556","Thần cái địt mẹ m trả hộ cái khung cái","-1","1583761556"
"002fc9270d457e6c65bc62ead512acfd","1583762415","Cho m hỏi mua cái này tác dụng j k.tốn tinh hoa","-1","1583762415"
"002fc9270d457e6c65bc62ead512acfd","1583762417","1 pha gáy khét...","0","1583762417"
"002fc9270d457e6c65bc62ead512acfd","1583762511","ad nên bán combo thần hỏa theo vị trí sẽ có nhiều người mua hơn đó chứ bán combo full tướng thế này thì giá hơi chát quá","0","1583762511"
"002fc9270d457e6c65bc62ead512acfd","1583762529","Làm về lux đi ad","-1","1583762529"
"002fc9270d457e6c65bc62ead512acfd","1583762598","Cái đầu tiên phải là ""tao đang trong alpha""","0","1583762598"
"002fc9270d457e6c65bc62ead512acfd","1583762610","Thần hỏa chỉ để khoe vậy thôi chứ có tăng sức mạnh gì trong game ko các bro","-1","1583762610"
"002fc9270d457e6c65bc62ead512acfd","1583762611","Cái này có ảnh hưởng tới chỉ số trong trận rank k ae","-1","1583762611"
"002fc9270d457e6c65bc62ead512acfd","1583762618","._. Sao con này mấy năm rồi ko bán đa sắc mùa đông vậy","1","1583762618"
"002fc9270d457e6c65bc62ead512acfd","1583762626","chém chuối","1","1583762626"
"002fc9270d457e6c65bc62ead512acfd","1583762629","Mn cho mình hỏi là mình mua thần hoả rp trc xong mua thần hoả tinh hoa lam là đc bộ 1 và bộ khởi đầu thì có 2 bộ thì nó hiện bộ nào vậy","-1","1583762629"
"002fc9270d457e6c65bc62ead512acfd","1583762658","Ảnh tuyệt kỹ alpha sai kìa","1","1583762658"
"002fc9270d457e6c65bc62ead512acfd","1583762689","AD cho em hỏi
Làm sao để nó hiện Thần Hỏa Bộ 1 ở hàng chờ ạ.","1","1583762689"
"002fc9270d457e6c65bc62ead512acfd","1583762703","Có pyke k ad","0","1583762703"
"002fc9270d457e6c65bc62ead512acfd","1583762709","Cái này ở chỗ đéo nào mà lục mãi đéo ra để làm lại 🙂","-1","1583762709"
"002fc9270d457e6c65bc62ead512acfd","1583762715","🔥 Chi tiết về Thần Hỏa: http://bit.ly/ThanHoa
🔥 Câu hỏi thường gặp: http://bit.ly/ThanHoaFAQ
🔥 Tra cứu Thần Hoả: https://thanhoa.lienminh.garena.vn/tra-cuu/","-1","1583762715"
"002fc9270d457e6c65bc62ead512acfd","1583762716","Q rồi chém chém, nghe giống mùi lướt rồi chọc chọc 😂 😂","0","1583762716"
"002fc9270d457e6c65bc62ead512acfd","1583762722","nhà nghèo hic","1","1583762722"
"002fc9270d457e6c65bc62ead512acfd","1583762770","Làm xayah đi ad","-1","1583762770"
"002fc9270d457e6c65bc62ead512acfd","1583762783","Làm ys đê","-1","1583762783"
"002fc9270d457e6c65bc62ead512acfd","1583762801","mấy năm trước xem được thành tựu mà giờ phải mua mới dc :)))","-1","1583762801"
"002fc9270d457e6c65bc62ead512acfd","1583762805","Nguyễn Cao Đẳng Pig bộ sưu tập, chọn tướng","1","1583762805"
"002fc9270d457e6c65bc62ead512acfd","1583762808","Nguyễn Na Cục cưng sẽ có nhé!","1","1583762808"
"002fc9270d457e6c65bc62ead512acfd","1583762828","Nguyễn Văn Lợi Sẽ có nha!","1","1583762828"
"002fc9270d457e6c65bc62ead512acfd","1583762849","Minh Nhí oh vậy hả cảm ơn quê nhé 🙂","1","1583762849"
"002fc9270d457e6c65bc62ead512acfd","1583762864","Mở rồi điểm danh đê ae ơiiii :)))","-1","1583762864"
"002fc9270d457e6c65bc62ead512acfd","1583762892","Nguyễn Cao Đẳng Pig auke đồng chí","0","1583762892"
"002fc9270d457e6c65bc62ead512acfd","1583762935","Làm về Jax đi","-1","1583762935"
"002fc9270d457e6c65bc62ead512acfd","1583762979","Ngon đấy
Mai mua","1","1583762979"
"002fc9270d457e6c65bc62ead512acfd","1583762998","cái này có tác dụng gì aer","-1","1583762998"
"002fc9270d457e6c65bc62ead512acfd","1583763012","Trong khi đó t vẫn kẹt lại khúc ""I was in alpha","-1","1583763012"
"002fc9270d457e6c65bc62ead512acfd","1583763097","Fizz đi ad","-1","1583763097"
"002fc9270d457e6c65bc62ead512acfd","1583763464","Nguyễn Cao Đẳng Pig đây bro ơi","0","1583763464"
"002fc9270d457e6c65bc62ead512acfd","1583763493","Ảnh tuyệt kĩ hơi toang nhỉ","1","1583763493"
"002fc9270d457e6c65bc62ead512acfd","1583763510","Liên Minh Huyền Thoại ok cảm liên minh ht nhé 🙂","1","1583763510"
"002fc9270d457e6c65bc62ead512acfd","1583763513","Quoc Anhh Bạn tick vào ông sao sáng bên phải tên Thần Hoả để chọn nha!","0","1583763513"
"002fc9270d457e6c65bc62ead512acfd","1583763616","Cowsep thích điều này và tôi cũng vậy.","1","1583763616"
"002fc9270d457e6c65bc62ead512acfd","1583763730","cho em hỏi ngu cái tác dụng của cái này là gì vậy","-1","1583763730"
"002fc9270d457e6c65bc62ead512acfd","1583764337","Hai Nguyen tuỳ chỉnh được nhé","1","1583764337"
"002fc9270d457e6c65bc62ead512acfd","1583764396","Hai Nguyen bộ nào có chỉ số cao hơn thì nó hiện bộ đó thôi bạn","-1","1583764396"
"002fc9270d457e6c65bc62ead512acfd","1583764422","T tưởng đắt làm 1 củ vào nào ngờ có 500k","0","1583764422"
"002fc9270d457e6c65bc62ead512acfd","1583764438","Trung Nguyễn thank bạn","1","1583764438"
"002fc9270d457e6c65bc62ead512acfd","1583764524","Mới sắp thôi","0","1583764524"
"002fc9270d457e6c65bc62ead512acfd","1583764747","Làm lại ảnh chiêu Q à","1","1583764747"
"002fc9270d457e6c65bc62ead512acfd","1583764880","cái này để làm con mẹ gì nhỉ???","0","1583764880"
"002fc9270d457e6c65bc62ead512acfd","1583764923","team dùng bug thiền và reset đòn đánh bằng thiền ko thích điều này :)))","-1","1583764923"
"002fc9270d457e6c65bc62ead512acfd","1583764973","lũ chó djt garena này","-1","1583764973"
"002fc9270d457e6c65bc62ead512acfd","1583765103","Ai cho mih xin acc ngọc rồng online vs, ai cho mih xin cảm ơn rất nhiều ạ, ai k cho đừng chửi mih ạ, mih bị mất njk","0","1583765103"
"002fc9270d457e6c65bc62ead512acfd","1583765482","Yi 1tr3 tt mua ko ta","-1","1583765482"
"002fc9270d457e6c65bc62ead512acfd","1583765535","Game là để giải trí tuần đi làm 6 ngày có mỗi ngày chủ nhật thư giản tý mà lại thần với hỏa","-1","1583765535"
"002fc9270d457e6c65bc62ead512acfd","1583765654","Bật R định lao vào chém team bạn và thấy tk Fidd bên kia","0","1583765654"
"002fc9270d457e6c65bc62ead512acfd","1583765670","đây đây... 😁😁","0","1583765670"
"002fc9270d457e6c65bc62ead512acfd","1583765675","Ko có tiền ad","-1","1583765675"
"002fc9270d457e6c65bc62ead512acfd","1583765706","Ad làm về fiora đi , tốc độ phá 4 điểm yếu , đỡ chiêu bằng w","-1","1583765706"
"002fc9270d457e6c65bc62ead512acfd","1583765985","Nguyễn Thành Thái đấy nhé Bư còm :3","1","1583765985"
"002fc9270d457e6c65bc62ead512acfd","1583766197","Nguyễn Long Việt Long cbi 1 dan choi xuat hien","0","1583766197"
"002fc9270d457e6c65bc62ead512acfd","1583766213","Sượt qua? Nên dịch thành ""Trượt tồi, lêu lêu!"" Đảm bảo team kia đồng loạt đi mua máy mới... :v","-1","1583766213"
"002fc9270d457e6c65bc62ead512acfd","1583766360","Nguyễn Minh Đạt mày cộng cho a mấy con tướng hay chơi đi e hôm nào a test thể lực 🙂","1","1583766360"
"002fc9270d457e6c65bc62ead512acfd","1583766365","Sao AI của game nó biết là dùng Q né skill ta","-1","1583766365"
"002fc9270d457e6c65bc62ead512acfd","1583766370","Con lạy mấy bố tránh xa con đó ra giùm con","-1","1583766370"
"002fc9270d457e6c65bc62ead512acfd","1583766608","Tao mà thấy yasuo là tao cầm bọ cào vào camp chết luôn chứ cày :))→_→","0","1583766608"
"002fc9270d457e6c65bc62ead512acfd","1583766741","🔥 Chi tiết về Thần Hỏa: http://bit.ly/ThanHoa
🔥 Câu hỏi thường gặp: http://bit.ly/ThanHoaFAQ
🔥 Tra cứu Thần Hoả: https://thanhoa.lienminh.garena.vn/tra-cuu/","-1","1583766741"
"002fc9270d457e6c65bc62ead512acfd","1583767162","Liên Minh Huyền Thoại cho e hỏi ví dụ h mình mua full bộ rồi lúc ra tướng mới có phải mua nữa ko hay là có luôn ạ","-1","1583767162"
"002fc9270d457e6c65bc62ead512acfd","1583767305",":)) đã tắt cmn thần hoả đi, nhìn chả ra gì còn cứ hiện lên rối mắt vl","-1","1583767305"
"002fc9270d457e6c65bc62ead512acfd","1583767883","Mua cái này có đáng k nhể","1","1583767883"
"002fc9270d457e6c65bc62ead512acfd","1583767964","Phải có Thần Hoả “I was in Alpha” số lần chết trong Alpha mới hay :v","-1","1583767964"
"002fc9270d457e6c65bc62ead512acfd","1583768209","rồi mục Clash đâu ạ","-1","1583768209"
"002fc9270d457e6c65bc62ead512acfd","1583768210","Thresh đi ad ơi :>","1","1583768210"
"002fc9270d457e6c65bc62ead512acfd","1583768221","Liên Minh Huyền Thoại ơn ạ","1","1583768221"
"002fc9270d457e6c65bc62ead512acfd","1583768415","Nguyễn Xuân Kiên sẽ có luôn các tướng mới sau này nhé 😉 bảo hành và cập nhật trọn đời","1","1583768415"
"002fc9270d457e6c65bc62ead512acfd","1583768430","Hoàng Hải","1","1583768430"
"002fc9270d457e6c65bc62ead512acfd","1583769244","Thần hoả của lux khó quá mấy má ơi, toàn mũ phù thuỷ mà nó kêu chặn st bằng W nè 🤦‍♀️","0","1583769244"
"002fc9270d457e6c65bc62ead512acfd","1583769512","đánh máy có tính k z :))","-1","1583769512"
"002fc9270d457e6c65bc62ead512acfd","1583769978","Tối cổ quá chả hiểu mn nói gì luôn @@ hoả thần gì ấy","-1","1583769978"
